Preset,A_raw,A_ms,A_conf,D_raw,D_ms,D_conf,R_raw,R_ms,R_conf
A11 Brass,0.023622,30,medium,0.385827,225,medium,0.251969,175,medium
A12 Brass Swell,0.503937,750,high,0.929134,,,0.291339,340,medium
A13 Trumpet,0.039370,,,0.519685,,,0.125984,,
A14 Flutes,0.181102,30,high,0.637795,1310,high,0.141732,67,high
A15 Moving Strings,0.102362,,,0.685039,,,0.275591,,
A16 Brass & Strings,0.346457,515,high,0.519685,540,medium,0.346457,660,medium
A17 Choir,0.535433,,,0.086614,,,0.377953,,
A18 Piano I,0.000000,15,high,0.519685,925,medium,0.236220,105,medium
A21 Organ I,0.000000,,,0.078740,,,0.000000,,
A22 Organ II,0.000000,,,0.078740,,,0.000000,,
A23 Combo Organ,0.000000,,,0.377953,,,0.362205,,
A24 Calliope,0.055118,63,medium,1.000000,,,0.047244,35,low
A25 Donald Pluck,0.015748,3,medium,0.039370,50,medium,0.078740,10,medium
A26 Celeste,0.000000,,,0.346457,,,0.637795,,
A27 Elect. Piano I,0.007874,,,0.669291,,,0.314961,,
A28 Elect. Piano II,0.000000,,,0.535433,,,0.173228,,
A31 Clock Chimes,0.000000,,,0.377953,,,0.401575,,
A32 Steel Drums,0.000000,3,medium,0.204724,,,0.291339,,
A33 Xylophone,0.000000,3,high,0.228346,250,medium,0.299213,,
A34 Brass III,0.456693,835,high,0.787402,,,0.291339,,
A35 Fanfare,0.566929,,,0.818898,,,0.385827,,
A36 Strings III,0.496063,,,0.244094,,,0.354331,,
A37 Pizzicato,0.000000,8,medium,0.086614,17,high,0.094488,,
A38 High Strings,0.141732,,,0.346457,,,0.314961,,
A41 Bass Clarinet,0.086614,,,0.590551,,,0.196850,,
A42 English Horn,0.062992,,,0.637795,,,0.125984,,
A43 Brass Ensemble,0.125984,,,0.811024,,,0.267717,,
A44 Guitar,0.000000,,,0.409449,,,0.244094,,
A45 Koto,0.000000,,,0.440945,,,0.307087,,
A46 Dark Pluck,0.000000,,,0.409449,,,0.496063,,
A47 Funky I,0.000000,5,high,0.236220,38,low,0.015748,12,medium
A48 Synth Bass I,0.000000,,,0.267717,,,0.283465,,
A51 Lead I,0.000000,,,0.354331,,,0.000000,,
A52 Lead II,0.007874,,,0.181102,,,0.590551,,
A53 Lead III,0.000000,,,0.519685,,,0.086614,,
A54 Funky II,0.000000,,,0.236220,,,0.015748,,
A55 Synth Bass II,0.000000,,,0.291339,,,0.173228,,
A56 Funky III,0.000000,,,0.188976,,,0.015748,,
A57 Thud Wah,0.000000,,,0.000000,,,0.354331,,
A58 Going Up,0.000000,8,high,0.850394,13500,high,1.000000,2800,low
A61 Piano II,0.000000,,,0.771654,,,0.251969,,
A62 Clav.,0.000000,10,medium,0.307087,15,low,0.110236,12,low
A63 Frontier Organ,0.000000,,,0.000000,,,0.000000,,
A64 Snare Drum,0.000000,15,high,0.196850,85,medium,0.236220,,
A65 Tom Toms,0.000000,,,0.236220,,,0.314961,,
A66 Timpani,0.007874,,,0.440945,,,0.559055,,
A67 Shaker,0.078740,75,medium,0.070866,29,medium,0.000000,2,medium
A68 Synth Pad,0.000000,,,0.669291,,,0.488189,,
A71 Sweep I,0.000000,,,0.496063,,,0.645669,,
A72 Pluck Sweep,0.000000,,,0.716535,,,0.606299,,
A73 Repeater,0.110236,,,0.000000,,,0.000000,,
A74 Sweep II,0.000000,,,0.700787,,,0.614173,,
A75 Pluck Bell,0.000000,,,0.669291,,,0.417323,,
A76 Dark Synth Piano,0.000000,22,medium,0.370079,622,high,0.393701,,
A77 Sustainer,0.000000,,,0.669291,,,0.551181,,
A78 Wah Release,0.000000,,,0.661417,,,0.228346,,
A81 Gong,0.023622,,,0.377953,,,0.771654,,
A82 Resonance Funk,0.000000,,,0.149606,,,0.173228,,
A83 Drum Booms,0.000000,,,0.283465,,,0.385827,,
A84 Dust Storm,0.692913,1160,low,0.716535,,,0.669291,2200,medium
A85 Rocket Men,0.000000,,,0.700787,,,0.818898,,
A86 Hand Claps,0.007874,,,0.086614,,,0.062992,,
A87 FX Sweep,0.000000,,,0.740157,,,0.881890,,
A88 Caverns,0.000000,,,0.102362,,,0.370079,,
B11 Strings,0.464567,,,0.251969,,,0.314961,,
B12 Violin,0.338583,236,high,0.354331,565,medium,0.204724,183,low
B13 Chorus Vibes,0.000000,,,0.700787,,,0.582677,,
B14 Organ I,0.000000,,,0.000000,,,0.000000,,
B15 Harpsichord I,0.000000,,,0.472441,,,0.244094,,
B16 Recorder,0.039370,31,medium,0.165354,,,0.236220,15,high
B17 Perc. Pluck,0.000000,,,0.125984,,,0.913386,,
B18 Noise Sweep,0.110236,,,0.614173,,,0.944882,,
B21 Space Chimes,0.000000,,,0.196850,,,0.472441,,
B22 Nylon Guitar,0.000000,,,0.700787,,,0.251969,,
B23 Orchestral Pad,0.228346,,,0.692913,,,0.409449,,
B24 Bright Pluck,0.000000,,,0.196850,,,0.346457,,
B25 Organ Bell,0.000000,,,0.000000,,,0.204724,,
B26 Accordion,0.062992,,,0.086614,,,0.070866,,
B27 FX Rise 1,0.000000,,,0.000000,,,0.661417,,
B28 FX Rise 2,0.000000,,,1.000000,,,0.559055,,
B31 Brass,0.023622,,,0.346457,,,0.086614,,
B32 Helicopter,0.000000,,,0.000000,,,0.598425,,
B33 Lute,0.000000,22,high,0.377953,311,low,0.685039,,
B34 Chorus Funk,0.000000,,,0.086614,,,0.000000,,
B35 Tomita,0.000000,,,0.110236,,,0.000000,,
B36 FX Sweep 1,0.000000,,,0.000000,,,0.669291,,
B37 Sharp Reed,0.015748,,,0.141732,,,0.000000,,
B38 Bass Pluck,0.000000,,,0.330709,,,0.000000,,
B41 Resonant Rise,0.000000,,,0.409449,,,0.000000,,
B42 Harpsichord 2,0.000000,,,0.354331,,,0.000000,,
B43 Dark Ensemble,0.165354,,,0.000000,,,0.275591,,
B44 Contact Wah,0.000000,,,0.000000,,,0.000000,,
B45 Noise Sweep 2,1.000000,2517,low,0.622047,,,0.653543,,
B46 Glassy Wah,0.047244,,,0.141732,,,0.299213,,
B47 Phase Ensemble,0.661417,,,0.354331,,,0.385827,,
B48 Chorused Bell,0.000000,,,0.488189,,,0.448819,,
B51 Clav,0.000000,,,0.338583,,,0.000000,,
B52 Organ 2,0.000000,,,0.000000,,,0.000000,,
B53 Bassoon,0.039370,,,1.000000,,,0.015748,,
B54 Auto Release Noise Sweep,0.000000,,,0.622047,1500,low,0.653543,,
B55 Brass Ensemble,0.047244,,,0.535433,,,0.299213,,
B56 Ethereal,0.724409,,,0.393701,,,0.433071,,
B57 Chorus Bell 2,0.000000,,,0.921260,,,0.944882,,
B58 Blizzard,0.614173,,,0.771654,,,0.614173,,
B61 E. Piano with Tremolo,0.000000,,,0.511811,,,0.771654,,
B62 Clarinet,0.039370,,,1.000000,,,0.055118,,
B63 Thunder,0.000000,,,0.173228,,,0.944882,,
B64 Reedy Organ,0.023622,,,0.346457,,,0.000000,,
B65 Flute - Horn,0.165354,,,0.574803,,,0.377953,,
B66 Toy Rhodes,0.000000,15,high,0.700787,262,low,0.307087,,
B67 Surf's Up,0.259843,,,0.763780,,,0.952756,,
B68 OW Bass,1.000000,,,0.000000,,,0.000000,,
B71 Piccolo,0.125984,,,0.811024,,,0.165354,,
B72 Melodic Taps,0.000000,,,0.188976,,,0.188976,,
B73 Meow Bass,0.031496,,,0.708661,,,0.212598,,
B74 Violin (high),0.338583,,,0.354331,,,0.204724,,
B75 High Bells,0.000000,,,0.173228,,,0.464567,,
B76 Rolling Wah,0.267717,,,0.433071,,,0.826772,,
B77 Ping Bell,0.000000,,,0.181102,,,0.448819,,
B78 Brassy Organ,0.000000,,,0.283465,,,0.000000,,
B81 Low Dark Strings,0.653543,,,0.181102,,,0.330709,,
B82 Piccolo Trumpet,0.023622,18,high,0.346457,565,medium,0.086614,12,high
B83 Cello,0.377953,,,0.511811,,,0.267717,,
B84 High Strings,0.212598,,,0.448819,,,0.322835,,
B85 Rocket Men,0.000000,,,1.000000,,,0.700787,,
B86 Forbidden Planet,0.000000,,,0.377953,,,0.330709,,
B87 Froggy,0.000000,,,0.000000,,,0.000000,,
B88 Owgan,0.000000,,,0.385827,,,0.000000,,
